,symbol,Date First Added
0,BBDC4,2005_1Q
1,BRAP4,2005_1Q
2,BBAS3,2005_1Q
3,BRKM5,2005_1Q
4,CMIG4,2005_1Q
5,CPLE6,2005_1Q
6,ELET3,2005_1Q
7,ELET6,2005_1Q
8,EMBR3,2005_1Q
9,GGBR4,2005_1Q
10,GOAU4,2005_1Q
11,ITSA4,2005_1Q
12,PETR3,2005_1Q
13,PETR4,2005_1Q
14,SBSP3,2005_1Q
15,CSNA3,2005_1Q
16,USIM5,2005_1Q
17,VALE3,2005_1Q
18,BRML3,2012_2Q
19,BRFS3,2012_2Q
20,CCRO3,2012_2Q
21,CIEL3,2012_2Q
22,CSAN3,2012_2Q
23,CPFE3,2012_2Q
24,CYRE3,2012_2Q
25,ENBR3,2012_2Q
26,GOLL4,2012_2Q
27,HYPE3,2012_2Q
28,ITUB4,2012_2Q
29,JBSS3,2012_2Q
30,RENT3,2012_2Q
31,LREN3,2012_2Q
32,MRFG3,2012_2Q
33,MRVE3,2012_2Q
34,SANB11,2012_2Q
35,UGPA3,2012_2Q
36,ABEV3,2017_1Q
37,BBDC3,2017_1Q
38,BBSE3,2017_1Q
39,ECOR3,2017_1Q
40,EQTL3,2017_1Q
41,KLBN11,2017_1Q
42,MULT3,2017_1Q
43,QUAL3,2017_1Q
44,RADL3,2017_1Q
45,WEGE3,2017_1Q
46,AZUL4,2021_1Q
47,B3SA3,2021_1Q
48,BPAC11,2021_1Q
49,CRFB3,2021_1Q
50,COGN3,2021_1Q
51,CVCB3,2021_1Q
52,ENGI11,2021_1Q
53,ENEV3,2021_1Q
54,EGIE3,2021_1Q
55,EZTC3,2021_1Q
56,FLRY3,2021_1Q
57,NTCO3,2021_1Q
58,HAPV3,2021_1Q
59,IRBR3,2021_1Q
60,JHSF3,2021_1Q
61,LCAM3,2021_1Q
62,MGLU3,2021_1Q
63,BEEF3,2021_1Q
64,PCAR3,2021_1Q
65,PRIO3,2021_1Q
66,RAIL3,2021_1Q
67,SULA11,2021_1Q
68,SUZB3,2021_1Q
69,TAEE11,2021_1Q
70,VIVT3,2021_1Q
71,TIMS3,2021_1Q
72,TOTS3,2021_1Q
73,YDUQ3,2021_1Q
74,POSI3,2008_2Q
75,RRRP3,2022_1Q
76,ALPA4,2022_1Q
77,AMER3,2022_1Q
78,ASAI3,2022_1Q
79,BIDI11,2022_1Q
80,BPAN4,2022_1Q
81,CMIN3,2022_1Q
82,DXCO3,2022_1Q
83,SOMA3,2022_1Q
84,IGTI11,2022_1Q
85,LWSA3,2022_1Q
86,CASH3,2022_1Q
87,PETZ3,2022_1Q
88,RDOR3,2022_1Q
89,VIIA3,2022_1Q
90,VBBR3,2022_1Q
